Geschlecht,Alter,Kunden_Typ,Region,Frisch,Milch,Lebensmittel,Tiefkühl,Diverse,class
female,26,retail,other,40721,3916,5876,532,2587,1278
female,31,retail,other,491,10473,11532,744,5611,224
female,56,restaurant,other,27329,1449,1947,2436,204,1333
female,19,restaurant,other,5264,3683,5005,1057,2024,1130
female,37,retail,other,4098,29892,26866,2616,17740,1340
female,41,retail,other,5417,9933,10487,38,7572,1282
female,43,restaurant,other,13779,1970,1648,596,227,436
male,34,restaurant,other,6137,5360,8040,129,3084,1603
female,50,retail,other,8590,3045,7854,96,4095,225
male,25,retail,other,35942,38369,59598,3254,26701,2017
male,48,retail,other,7823,6245,6544,4154,4074,964
male,56,retail,other,9396,11601,15775,2896,7677,1295
female,32,restaurant,other,4760,1227,3250,3724,1247,1145
male,47,retail,other,85,20959,45828,36,24231,1423
female,56,restaurant,other,9,1534,7417,175,3468,27
female,48,retail,other,19913,6759,13462,1256,5141,834
female,20,restaurant,other,2446,7260,3993,5870,788,3095
male,16,restaurant,other,8352,2820,1293,779,656,144
male,32,restaurant,other,16705,2037,3202,10643,116,1365
female,53,restaurant,other,18291,1266,21042,5373,4173,14472
female,49,restaurant,other,4420,5139,2661,8872,1321,181
female,56,retail,other,19899,5332,8713,8132,764,648
female,30,retail,other,8190,6343,9794,1285,1901,1780
female,29,restaurant,other,20398,1137,3,4407,3,975
female,52,restaurant,other,717,3587,6532,7530,529,894
female,20,retail,other,12205,12697,28540,869,12034,1009
male,25,restaurant,other,10766,1175,2067,2096,301,167
female,43,restaurant,other,1640,3259,3655,868,1202,1653
male,25,restaurant,other,7005,829,3009,430,610,529
female,38,retail,other,219,9540,14403,283,7818,156
male,49,retail,other,10362,9232,11009,737,3537,2342
male,40,restaurant,other,20874,1563,1783,2320,550,772
male,43,retail,other,11867,3327,4814,1178,3837,120
male,20,retail,other,16117,46197,92780,1026,40827,2944
female,52,retail,other,22925,73498,32114,987,20070,903
female,46,restaurant,other,43265,5025,8117,6312,1579,14351
male,58,restaurant,other,7864,542,4042,9735,165,46
female,29,restaurant,other,24904,3836,5330,3443,454,3178
male,51,restaurant,other,11405,596,1638,3347,69,360
male,14,restaurant,other,12754,2762,2530,8693,627,1117
female,42,retail,other,9198,27472,32034,3232,18906,5130
female,16,restaurant,other,11314,3090,2062,35009,71,2698
male,41,retail,other,5626,12220,11323,206,5038,244
female,48,restaurant,other,3,2920,6252,440,223,709
male,45,retail,other,23,2616,8118,145,3874,217
female,54,restaurant,other,403,254,610,774,54,63
female,56,restaurant,other,503,112,778,895,56,132
male,60,restaurant,other,9658,2182,1909,5639,215,323
female,57,retail,other,11594,7779,12144,3252,8035,3029
male,56,retail,other,1420,10810,16267,1593,6766,1838
male,50,retail,other,2932,6459,7677,2561,4573,1386
male,44,restaurant,other,56082,3504,8906,18028,1480,2498
male,46,restaurant,other,14100,2132,3445,1336,1491,548
male,37,restaurant,other,15587,1014,3970,910,139,1378
female,27,retail,other,1454,6337,10704,133,6830,1831
male,44,retail,other,8797,10646,14886,2471,8969,1438
male,42,retail,other,1531,8397,6981,247,2505,1236
female,60,retail,other,1406,16729,28986,673,836,3
male,23,restaurant,other,11818,1648,1694,2276,169,1647
male,36,retail,other,12579,11114,17569,805,6457,1519
male,39,restaurant,other,19046,2770,2469,8853,483,2708
female,42,restaurant,other,14438,2295,1733,3220,585,1561
female,54,restaurant,other,18044,1080,2000,2555,118,1266
male,49,restaurant,other,11134,793,2988,2715,276,610
male,60,restaurant,other,11173,2521,3355,1517,310,222
female,30,restaurant,other,6990,3880,5380,1647,319,1160
female,38,restaurant,other,20049,1891,2362,5343,411,933
female,56,restaurant,other,8258,2344,2147,3896,266,635
male,56,restaurant,other,17160,1200,3412,2417,174,1136
female,32,restaurant,other,4020,3234,1498,2395,264,255
female,21,restaurant,other,12212,201,245,1991,25,860
female,30,retail,other,11170,10769,8814,2194,1976,143
female,54,restaurant,other,36050,1642,2961,4787,500,1621
female,30,restaurant,other,76237,3473,7102,16538,778,918
male,30,restaurant,other,19219,1840,1658,8195,349,483
male,16,retail,other,21465,7243,10685,880,2386,2749
female,53,restaurant,other,140,8847,3823,142,1062,3
female,25,restaurant,other,42312,926,1510,1718,410,1819
male,37,restaurant,other,7149,2428,699,6316,395,911
female,34,restaurant,other,2101,589,314,346,70,310
female,56,restaurant,other,14903,2032,2479,576,955,328
male,35,restaurant,other,9434,1042,1235,436,256,396
female,19,restaurant,other,7388,1882,2174,720,47,537
male,33,restaurant,other,6300,1289,2591,1170,199,326
male,59,restaurant,other,4625,8579,7030,4575,2447,1542
female,18,restaurant,other,3087,8080,8282,661,721,36
male,30,restaurant,other,13537,4257,5034,155,249,3271
male,39,restaurant,other,5387,4979,3343,825,637,929
female,31,restaurant,other,17623,4280,7305,2279,960,2616
female,36,restaurant,other,30379,13252,5189,321,51,1450
female,54,restaurant,other,37036,7152,8253,2995,20,3
male,44,restaurant,other,10405,1596,1096,8425,399,318
male,36,restaurant,other,18827,3677,1988,118,516,201
female,37,retail,other,22039,8384,34792,42,12591,4430
female,51,restaurant,other,7769,1936,2177,926,73,520
female,46,restaurant,other,9203,3373,2707,1286,1082,526
male,55,restaurant,other,5924,584,542,4052,283,434
female,56,restaurant,other,31812,1433,1651,800,113,1440
male,35,restaurant,other,16225,1825,1765,853,170,1067
female,34,restaurant,other,1289,3328,2022,531,255,1774
female,21,restaurant,other,18840,1371,3135,3001,352,184
female,17,restaurant,other,3463,9250,2368,779,302,1627
female,60,restaurant,other,622,55,137,75,7,8
female,57,retail,other,1989,10690,19460,233,11577,2153
female,55,retail,other,3830,5291,14855,317,6694,3182
male,19,restaurant,other,17773,1366,2474,3378,811,418
male,17,retail,other,2861,6570,9618,930,4004,1682
male,49,retail,other,355,7704,14682,398,8077,303
female,47,retail,other,1725,3651,12822,824,4424,2157
male,25,restaurant,other,12434,540,283,1092,3,2233
male,23,restaurant,other,15177,2024,3810,2665,232,610
female,25,retail,other,5531,15726,26870,2367,13726,446
male,16,retail,other,5224,7603,8584,2540,3674,238
female,29,retail,other,15615,12653,19858,4425,7108,2379
male,31,retail,other,4822,6721,9170,993,4973,3637
male,14,restaurant,other,2926,3195,3268,405,1680,693
female,50,restaurant,other,5809,735,803,1393,79,429
male,29,restaurant,other,5414,717,2155,2399,69,750
female,26,retail,other,260,8675,13430,1116,7015,323
male,31,retail,other,200,25862,19816,651,8773,6250
male,42,restaurant,other,955,5479,6536,333,2840,707
male,43,retail,other,514,7677,19805,937,9836,716
female,44,restaurant,other,286,1208,5241,2515,153,1442
female,31,retail,other,2343,7845,11874,52,4196,1697
female,60,restaurant,other,45640,6958,6536,7368,1532,230
male,14,restaurant,other,12759,7330,4533,1752,20,2631
female,56,restaurant,other,11002,7075,4945,1152,120,395
male,53,restaurant,other,3157,4888,2500,4477,273,2165
male,59,restaurant,other,12356,6036,8887,402,1382,2794
male,21,restaurant,other,112151,29627,18148,16745,4948,8550
male,21,restaurant,other,694,8533,10518,443,6907,156
male,15,restaurant,other,36847,43950,20170,36534,239,47943
female,57,restaurant,other,327,918,4710,74,334,11
female,46,restaurant,other,8170,6448,1139,2181,58,247
female,37,restaurant,other,3009,521,854,3470,949,727
female,26,restaurant,other,2438,8002,9819,6269,3459,3
male,40,retail,other,8040,7639,11687,2758,6839,404
female,32,retail,other,834,11577,11522,275,4027,1856
male,58,restaurant,other,16936,6250,1981,7332,118,64
female,43,restaurant,other,13624,295,1381,890,43,84
male,57,restaurant,other,5509,1461,2251,547,187,409
male,49,retail,other,180,3485,20292,959,5618,666
male,23,restaurant,other,7107,1012,2974,806,355,1142
female,44,restaurant,other,17023,5139,5230,7888,330,1755
male,54,restaurant,Lisnon,30624,7209,4897,18711,763,2876
male,20,retail,Lisnon,2427,7097,10391,1127,4314,1468
female,56,restaurant,Lisnon,11686,2154,6824,3527,592,697
male,44,restaurant,Lisnon,9670,2280,2112,520,402,347
male,49,retail,Lisnon,3067,13240,23127,3941,9959,731
female,51,retail,Lisnon,4484,14399,24708,3549,14235,1681
female,48,restaurant,Lisnon,25203,11487,9490,5065,284,6854
female,33,restaurant,Lisnon,583,685,2216,469,954,18
male,34,restaurant,Lisnon,1956,891,5226,1383,5,1328
female,30,retail,Lisnon,1107,11711,23596,955,9265,710
male,14,restaurant,Lisnon,6373,780,950,878,288,285
female,56,retail,Lisnon,2541,4737,6089,2946,5316,120
female,21,restaurant,Lisnon,1537,3748,5838,1859,3381,806
male,51,retail,Lisnon,5550,12729,16767,864,12420,797
female,34,restaurant,Lisnon,18567,1895,1393,1801,244,2100
male,43,retail,Lisnon,12119,28326,39694,4736,19410,2870
male,59,restaurant,Lisnon,7291,1012,2062,1291,240,1775
female,56,restaurant,Lisnon,3317,6602,6861,1329,3961,1215
female,50,retail,Lisnon,2362,6551,11364,913,5957,791
male,37,restaurant,Lisnon,2806,10765,15538,1374,5828,2388
female,60,retail,Lisnon,2532,16599,36486,179,13308,674
male,53,restaurant,Lisnon,18044,1475,2046,2532,130,1158
female,42,retail,Lisnon,18,7504,15205,1285,4797,6372
male,46,restaurant,Lisnon,4155,367,1390,2306,86,130
female,57,restaurant,Lisnon,14755,899,1382,1765,56,749
male,46,restaurant,Lisnon,5396,7503,10646,91,4167,239
female,60,restaurant,Lisnon,5041,1115,2856,7496,256,375
female,58,retail,Lisnon,2790,2527,5265,5612,788,1360
female,27,restaurant,Lisnon,7274,659,1499,784,70,659
female,34,restaurant,Lisnon,12680,3243,4157,660,761,786
male,17,retail,Lisnon,20782,5921,9212,1759,2568,1553
female,57,restaurant,Lisnon,4042,2204,1563,2286,263,689
male,24,restaurant,Lisnon,1869,577,572,950,4762,203
female,16,restaurant,Lisnon,8656,2746,2501,6845,694,980
female,42,retail,Lisnon,11072,5989,5615,8321,955,2137
male,14,restaurant,Lisnon,2344,10678,3828,1439,1566,490
female,31,restaurant,Lisnon,25962,1780,3838,638,284,834
female,29,restaurant,Lisnon,964,4984,3316,937,409,7
male,48,restaurant,Lisnon,15603,2703,3833,4260,325,2563
male,49,restaurant,Lisnon,1838,6380,2824,1218,1216,295
female,36,restaurant,Lisnon,8635,820,3047,2312,415,225
male,38,restaurant,Lisnon,18692,3838,593,4634,28,1215
female,58,restaurant,Lisnon,7363,475,585,1112,72,216
male,45,restaurant,Lisnon,47493,2567,3779,5243,828,2253
male,52,restaurant,Lisnon,22096,3575,7041,11422,343,2564
male,54,restaurant,Lisnon,24929,1801,2475,2216,412,1047
female,20,restaurant,Lisnon,18226,659,2914,3752,586,578
female,45,restaurant,Lisnon,11210,3576,5119,561,1682,2398
male,26,restaurant,Lisnon,6202,7775,10817,1183,3143,1970
male,39,retail,Lisnon,3062,6154,13916,230,8933,2784
male,23,restaurant,Lisnon,8885,2428,1777,1777,430,610
male,15,restaurant,Lisnon,13569,346,489,2077,44,659
female,55,restaurant,Lisnon,15671,5279,2406,559,562,572
male,52,restaurant,Lisnon,8040,3795,2070,6340,918,291
male,42,restaurant,Lisnon,3191,1993,1799,1730,234,710
female,30,retail,Lisnon,6134,23133,33586,6746,18594,5121
male,33,restaurant,Lisnon,6623,1860,4740,7683,205,1693
female,14,restaurant,Lisnon,29526,7961,16966,432,363,1391
female,59,restaurant,Lisnon,10379,17972,4748,4686,1547,3265
male,36,restaurant,Lisnon,31614,489,1495,3242,111,615
male,29,restaurant,Lisnon,11092,5008,5249,453,392,373
female,23,restaurant,Lisnon,8475,1931,1883,5004,3593,987
female,60,restaurant,Lisnon,56083,4563,2124,6422,730,3321
female,15,restaurant,Lisnon,53205,4959,7336,3012,967,818
male,39,restaurant,Lisnon,9193,4885,2157,327,780,548
female,57,restaurant,Lisnon,7858,1110,1094,6818,49,287
male,46,restaurant,Lisnon,23257,1372,1677,982,429,655
male,36,restaurant,Lisnon,2153,1115,6684,4324,2894,411
male,60,retail,Lisnon,1073,9679,15445,61,5980,1265
male,39,restaurant,Lisnon,5909,23527,13699,10155,830,3636
male,36,retail,Lisnon,572,9763,22182,2221,4882,2563
female,44,restaurant,Lisnon,20893,1222,2576,3975,737,3628
male,48,retail,Lisnon,11908,8053,19847,1069,6374,698
male,42,restaurant,Lisnon,15218,258,1138,2516,333,204
male,25,restaurant,Lisnon,4720,1032,975,5500,197,56
male,53,restaurant,Lisnon,2083,5007,1563,1120,147,1550
male,51,restaurant,Lisnon,514,8323,6869,529,93,1040
female,33,restaurant,other,36817,3045,1493,4802,210,1824
male,34,restaurant,other,894,1703,1841,744,759,1153
female,59,restaurant,other,680,1610,223,862,96,379
female,60,restaurant,other,27901,3749,6964,4479,603,2503
female,19,restaurant,other,9061,829,683,16919,621,139
female,44,restaurant,other,11693,2317,2543,5845,274,1409
male,33,retail,other,17360,6200,9694,1293,3620,1721
female,47,restaurant,other,3366,2884,2431,977,167,1104
female,23,retail,other,12238,7108,6235,1093,2328,2079
male,20,restaurant,other,49063,3965,4252,5970,1041,1404
female,35,restaurant,other,25767,3613,2013,10303,314,1384
female,21,restaurant,other,68951,4411,12609,8692,751,2406
male,48,restaurant,other,40254,640,3600,1042,436,18
female,31,restaurant,other,7149,2247,1242,1619,1226,128
male,49,restaurant,other,15354,2102,2828,8366,386,1027
male,33,restaurant,other,16260,594,1296,848,445,258
female,41,restaurant,other,42786,286,471,1388,32,22
male,54,restaurant,other,2708,2160,2642,502,965,1522
male,24,restaurant,other,6022,3354,3261,2507,212,686
male,30,restaurant,other,2838,3086,4329,3838,825,1060
female,33,retail,Oporto,3996,11103,12469,902,5952,741
female,31,restaurant,Oporto,21273,2013,6550,909,811,1854
male,52,retail,Oporto,7588,1897,5234,417,2208,254
male,35,restaurant,Oporto,19087,1304,3643,3045,710,898
female,42,retail,Oporto,8090,3199,6986,1455,3712,531
female,56,retail,Oporto,6758,4560,9965,934,4538,1037
female,19,restaurant,Oporto,444,879,2060,264,290,259
male,45,retail,Oporto,16448,6243,6360,824,2662,2005
female,29,retail,Oporto,5283,13316,20399,1809,8752,172
female,34,retail,Oporto,2886,5302,9785,364,6236,555
male,58,retail,Oporto,2599,3688,13829,492,10069,59
female,33,retail,Oporto,161,7460,24773,617,11783,2410
male,51,retail,Oporto,243,12939,8852,799,3909,211
female,40,retail,Oporto,6468,12867,21570,1840,7558,1543
male,28,restaurant,Oporto,17327,2374,2842,1149,351,925
male,54,restaurant,Oporto,6987,1020,3007,416,257,656
female,52,retail,Oporto,918,20655,13567,1465,6846,806
female,52,restaurant,Oporto,7034,1492,2405,12569,299,1117
male,31,restaurant,Oporto,29635,2335,8280,3046,371,117
female,20,retail,Oporto,2137,3737,19172,1274,17120,142
male,38,restaurant,Oporto,9784,925,2405,4447,183,297
male,38,restaurant,Oporto,10617,1795,7647,1483,857,1233
male,56,retail,Oporto,1479,14982,11924,662,3891,3508
female,49,restaurant,Oporto,7127,1375,2201,2679,83,1059
male,39,restaurant,Oporto,1182,3088,6114,978,821,1637
female,56,restaurant,Oporto,11800,2713,3558,2121,706,51
female,37,retail,Oporto,9759,25071,17645,1128,12408,1625
female,35,restaurant,Oporto,1774,3696,2280,514,275,834
female,29,restaurant,Oporto,9155,1897,5167,2714,228,1113
female,52,restaurant,Oporto,15881,713,3315,3703,1470,229
male,59,restaurant,Oporto,13360,944,11593,915,1679,573
male,14,restaurant,Oporto,25977,3587,2464,2369,140,1092
female,38,restaurant,Oporto,32717,16784,13626,60869,1272,5609
female,21,restaurant,Oporto,4414,1610,1431,3498,387,834
female,60,restaurant,Oporto,542,899,1664,414,88,522
female,45,restaurant,Oporto,16933,2209,3389,7849,210,1534
female,58,restaurant,Oporto,5113,1486,4583,5127,492,739
female,49,restaurant,Oporto,9790,1786,5109,3570,182,1043
male,16,retail,Oporto,11223,14881,26839,1234,9606,1102
male,25,restaurant,Oporto,22321,3216,1447,2208,178,2602
male,44,retail,Oporto,8565,4980,67298,131,38102,1215
female,53,retail,Oporto,16823,928,2743,11559,332,3486
female,17,retail,Oporto,27082,6817,10790,1365,4111,2139
male,28,restaurant,Oporto,13970,1511,1330,650,146,778
male,39,restaurant,Oporto,9351,1347,2611,8170,442,868
male,54,restaurant,Oporto,3,333,7021,15601,15,550
female,47,restaurant,Oporto,2617,1188,5332,9584,573,1942
female,20,retail,other,381,4025,9670,388,7271,1371
female,49,retail,other,2320,5763,11238,767,5162,2158
male,56,restaurant,other,255,5758,5923,349,4595,1328
male,52,retail,other,1689,6964,26316,1456,15469,37
male,18,restaurant,other,3043,1172,1763,2234,217,379
female,37,restaurant,other,1198,2602,8335,402,3843,303
female,33,retail,other,2771,6939,15541,2693,6600,1115
female,58,retail,other,27380,7184,12311,2809,4621,1022
male,15,restaurant,other,3428,2380,2028,1341,1184,665
male,52,retail,other,5981,14641,20521,2005,12218,445
male,36,restaurant,other,3521,1099,1997,1796,173,995
female,19,retail,other,1210,10044,22294,1741,12638,3137
female,49,restaurant,other,608,1106,1533,830,90,195
female,49,retail,other,117,6264,21203,228,8682,1111
female,24,restaurant,other,14039,7393,2548,6386,1333,2341
male,30,restaurant,other,190,727,2012,245,184,127
female,21,restaurant,other,22686,134,218,3157,9,548
male,54,retail,other,37,1275,22272,137,6747,110
male,26,restaurant,other,759,18664,1660,6114,536,4100
female,46,restaurant,other,796,5878,2109,340,232,776
male,41,restaurant,other,19746,2872,2006,2601,468,503
female,55,restaurant,other,4734,607,864,1206,159,405
female,24,restaurant,other,2121,1601,2453,560,179,712
male,41,restaurant,other,4627,997,4438,191,1335,314
female,58,restaurant,other,2615,873,1524,1103,514,468
female,39,retail,other,4692,6128,8025,1619,4515,3105
male,23,restaurant,other,9561,2217,1664,1173,222,447
male,40,restaurant,other,3477,894,534,1457,252,342
female,24,restaurant,other,22335,1196,2406,2046,101,558
female,26,restaurant,other,6211,337,683,1089,41,296
female,19,retail,other,39679,3944,4955,1364,523,2235
male,52,restaurant,other,20105,1887,1939,8164,716,790
female,37,restaurant,other,3884,3801,1641,876,397,4829
female,34,retail,other,15076,6257,7398,1504,1916,3113
male,36,restaurant,other,6338,2256,1668,1492,311,686
male,14,restaurant,other,5841,1450,1162,597,476,70
female,15,retail,other,3136,8630,13586,5641,4666,1426
male,49,restaurant,other,38793,3154,2648,1034,96,1242
female,45,restaurant,other,3225,3294,1902,282,68,1114
female,22,retail,other,4048,5164,10391,130,813,179
male,44,restaurant,other,28257,944,2146,3881,600,270
male,21,restaurant,other,17770,4591,1617,9927,246,532
male,46,restaurant,other,34454,7435,8469,2540,1711,2893
male,44,restaurant,other,1821,1364,3450,4006,397,361
female,26,restaurant,other,10683,21858,15400,3635,282,5120
male,28,restaurant,other,11635,922,1614,2583,192,1068
female,29,restaurant,other,1206,3620,2857,1945,353,967
male,18,restaurant,other,20918,1916,1573,1960,231,961
male,37,restaurant,other,9785,848,1172,1677,200,406
male,25,restaurant,other,9385,1530,1422,3019,227,684
male,39,restaurant,other,3352,1181,1328,5502,311,1000
female,54,restaurant,other,2647,2761,2313,907,95,1827
male,17,restaurant,other,518,4180,3600,659,122,654
male,26,restaurant,other,23632,6730,3842,8620,385,819
male,55,restaurant,other,12377,865,3204,1398,149,452
female,55,restaurant,other,9602,1316,1263,2921,841,290
female,27,retail,other,4515,11991,9345,2644,3378,2213
male,55,restaurant,other,11535,1666,1428,6838,64,743
female,26,restaurant,other,11442,1032,582,5390,74,247
female,48,restaurant,other,9612,577,935,1601,469,375
male,27,restaurant,other,4446,906,1238,3576,153,1014
male,31,restaurant,other,27167,2801,2128,13223,92,1902
male,59,restaurant,other,26539,4753,5091,220,10,340
female,17,restaurant,other,25606,11006,4604,127,632,288
female,59,restaurant,other,18073,4613,3444,4324,914,715
male,32,restaurant,other,6884,1046,1167,2069,593,378
male,14,restaurant,other,25066,5010,5026,9806,1092,960
female,22,retail,other,7362,12844,18683,2854,7883,553
male,17,retail,other,8257,3880,6407,1646,2730,344
female,33,restaurant,other,8708,3634,6100,2349,2123,5137
male,54,restaurant,other,6633,2096,4563,1389,1860,1892
male,41,restaurant,other,2126,3289,3281,1535,235,4365
male,16,restaurant,other,97,3605,12400,98,2970,62
female,24,restaurant,other,4983,4859,6633,17866,912,2435
female,23,restaurant,other,5969,1990,3417,5679,1135,290
male,50,retail,other,7842,6046,8552,1691,3540,1874
female,46,retail,other,4389,10940,10908,848,6728,993
male,54,restaurant,other,5065,5499,11055,364,3485,1063
male,17,retail,other,660,8494,18622,133,6740,776
male,14,restaurant,other,8861,3783,2223,633,1580,1521
female,45,restaurant,other,4456,5266,13227,25,6818,1393
male,18,retail,other,17063,4847,9053,1031,3415,1784
male,23,restaurant,other,26400,1377,4172,830,948,1218
male,27,retail,other,17565,3686,4657,1059,1803,668
male,26,retail,other,16980,2884,12232,874,3213,249
male,26,restaurant,other,11243,2408,2593,15348,108,1886
male,30,restaurant,other,13134,9347,14316,3141,5079,1894
female,48,restaurant,other,31012,16687,5429,15082,439,1163
male,16,restaurant,other,3047,5970,4910,2198,850,317
female,25,restaurant,other,8607,1750,3580,47,84,2501
female,35,restaurant,other,3097,4230,16483,575,241,2080
male,54,restaurant,other,8533,5506,5160,13486,1377,1498
female,25,restaurant,other,21117,1162,4754,269,1328,395
male,52,restaurant,other,1982,3218,1493,1541,356,1449
male,58,restaurant,other,16731,3922,7994,688,2371,838
male,30,restaurant,other,29703,12051,16027,13135,182,2204
male,30,restaurant,other,39228,1431,764,4510,93,2346
male,59,retail,other,14531,15488,30243,437,14841,1867
female,38,restaurant,other,10290,1981,2232,1038,168,2125
male,37,restaurant,other,2787,1698,2510,65,477,52
